#mds1				mds2			rg	replica_index
-9.819347669176253443e-03 2.117383656690723440e-02	1.29516	2
-3.368096070685691786e-03 1.818762583648334333e-02	1.5209	1
1.306339059030381562e-02 5.111541158640260478e-04	1.13652	6
6.390369142806995306e-03 2.067653845928777573e-02	1.16977	3
-1.584853947046972094e-03 9.095751835325590826e-03	1.24236	6
3.426773344022070091e-03 2.637111158757515783e-02	1.22906	3
2.888914953820221829e-03 4.462083751692845490e-02	1.32515	0
1.465466711113315619e-02 3.752643033706622167e-02	1.33473	5
2.766290722504036008e-03 3.910082343850500297e-02	1.25629	3
-2.142052840547099130e-02 -5.736916613906463749e-03	1.3412	14
9.871579039439540293e-03 2.598179820130657250e-02	1.1566	6
3.649721674924544506e-03 4.930351172349931033e-02	1.32638	0
-3.483794002267241730e-02 -1.863026736876992329e-02	1.25291	14
-2.343537301121919746e-04 3.534851277399818359e-02	1.34471	3
-4.401475475345016207e-06 3.124496300883174149e-02	1.27264	3
1.156636778204936638e-03 3.696429404066528535e-02	1.32102	3
-1.090960777678031757e-03 3.724568718491093333e-02	1.25575	3
-3.278693906076100058e-03 3.820274824243697492e-02	1.26827	3
1.065753959861351005e-02 2.870546303377924033e-02	1.22583	6
3.420411630493018842e-03 4.395279746696868772e-02	1.24196	3
2.260187734977576503e-03 4.120466414977704689e-02	1.33231	3
-1.943650357347499052e-02 -6.705013844007329422e-03	1.15221	10
4.634244908563792814e-03 2.431005884061372344e-02	1.29294	6
-5.194688124055371918e-04 2.623228937701126140e-02	1.38985	6
-2.447894062315055658e-02 -4.982431960779880840e-03	1.31888	7
-4.243433977784420719e-03 2.496270171045753689e-02	1.43771	13
-2.311343057228064379e-02 -5.027998562712652185e-03	1.29106	7
-1.830701124335547270e-02 -7.412430099319365466e-03	1.28766	7
-1.686983297914180710e-02 -1.196679339923560972e-02	1.2646	7
-2.490863222101073748e-02 -1.203426373615003146e-02	1.22629	7
-6.846803302304304249e-03 2.735883157922700676e-02	1.38168	0
-1.400820382341781169e-02 4.030559198500551638e-02	1.39699	0
-2.777179207113516721e-02 -9.667121375642403341e-03	1.26569	7
2.127944087796557887e-03 3.865074987144496294e-02	1.31448	3
3.951604255933992282e-02 3.054374691671580405e-02	1.09508	5
2.009076752861995233e-02 2.420637556733202037e-02	1.21505	0
-3.146550805334643458e-02 -8.442644371175863499e-03	1.2987	7
-5.591126000165798013e-03 1.621982177195814556e-02	1.32886	13
-7.613255468229384280e-03 2.416965002204767357e-02	1.37424	13
4.304820390395589121e-03 2.417929200051741750e-02	1.47007	6
-4.919449339052318557e-03 2.920966638744149427e-02	1.36685	13
-2.423447558606230123e-02 -9.121514461085222791e-03	1.13792	7
-7.300245817970876273e-03 4.035319847701587803e-02	1.4347	6
1.749105188969349647e-02 9.085944488463369023e-03	1.27533	0
-2.580605220956979848e-02 1.184769798275942974e-03	1.38115	12
-7.150482269123121896e-03 1.292828886478429411e-02	1.35996	13
-1.601071219460456453e-03 2.407524651758959772e-02	1.33582	13
3.159097697109742447e-02 4.621245824660381862e-02	1.8314	1
2.300797497529397280e-03 3.664993430328449681e-02	1.30622	6
-1.188737992168268330e-02 9.089873131934824227e-03	1.44987	9
-3.396038461186866135e-03 1.823324998933448585e-02	1.06626	4
2.282059303783045071e-03 1.776738052090282363e-02	1.12859	4
2.601499150648515710e-02 3.722480447379595409e-02	1.19376	6
-4.012837766940570081e-03 1.143454722775551213e-02	1.44842	9
1.152502716854422737e-02 1.671751069524007524e-02	1.16197	2
2.191817166079605347e-02 3.778793319448891380e-02	1.09921	4
1.693858805975631196e-02 2.732586759504960702e-02	1.09988	4
-1.084157762564930995e-02 1.730663619523655373e-03	1.06997	7
3.356645244570937575e-02 3.154907780299359699e-02	1.35785	11
-2.167630627737894035e-03 3.356796850513488195e-02	1.48449	6
3.104298449222643586e-02 3.814635383923831169e-02	1.62432	13
5.843023382512859201e-03 5.116504488836652598e-03	1.03619	4
3.461029474778679060e-02 3.711279674704635184e-02	1.61696	13
-3.997078423582625835e-03 2.559440914213118728e-02	1.32868	0
3.142099776649014131e-02 3.324039033999619253e-02	1.28015	3
8.797646276029611606e-03 5.840811885616825974e-03	1.2732	0
5.379411226426394216e-02 3.553006196723579313e-02	1.43487	1
4.912673861620352883e-02 3.419261724668941349e-02	1.4419	1
-2.483254466638418201e-02 7.865230014922708433e-04	1.24573	7
-4.872764709600783430e-03 2.316338660416907003e-02	1.29992	0
5.486488618147357388e-02 2.957145369583468950e-02	1.38101	1
1.154057875890579900e-03 -1.354485874600372917e-02	1.15152	10
9.762048348301503864e-02 -7.939488643381996738e-03	0.919757	5
1.026112627422444551e-01 -5.076972275198324974e-03	0.917307	5
4.027374746617208567e-02 3.843821349724974024e-02	1.54398	13
2.906887867415576879e-02 4.257261794011998890e-02	1.51222	13
2.687839753117976169e-02 4.383457095839085604e-02	1.46707	13
-2.558088076995671326e-02 -7.734735198933395325e-03	1.11456	7
2.861053073434463231e-02 4.180130665296132031e-02	1.52928	13
4.860237306836839855e-02 -2.788035403529860734e-02	0.941653	5
4.871460460612615090e-02 -3.053885683793665373e-02	0.929757	5
7.446655517737037211e-03 1.895118782595787629e-02	1.26168	10
9.768917449787078988e-02 5.631859680987857941e-02	1.04622	14
9.232817246755709029e-02 5.244184964562042389e-02	1.03093	14
-1.029696648439074221e-02 8.300674715023654074e-03	1.30518	9
-2.364939501546484829e-02 -8.373849440300208669e-03	1.09637	7
1.458713085508469252e-02 3.701040400384544848e-02	1.34881	3
